id,uni,item,response
a2653,2t9re,4,4
a2653,2t9re,5,5
a2653,2t9re,6,4
a2653,2t9re,7,3
a2653,2t9re,8,5
a2653,2t9re,9,4
70734,2t9re,1,2
70734,2t9re,2,5
70734,2t9re,3,4
70734,2t9re,4,5
70734,2t9re,5,4
70734,2t9re,6,5
70734,2t9re,7,5
70734,2t9re,8,3
70734,2t9re,9,4
32c34,2t9re,1,3
32c34,2t9re,2,3
32c34,2t9re,3,1
32c34,2t9re,4,2
32c34,2t9re,5,3
32c34,2t9re,6,1
32c34,2t9re,7,1
32c34,2t9re,8,2
32c34,2t9re,9,2
51747,2t9re,1,3
51747,2t9re,2,4
51747,2t9re,3,4
51747,2t9re,4,4
51747,2t9re,5,4
51747,2t9re,6,3
51747,2t9re,7,3
51747,2t9re,8,4
51747,2t9re,9,3
4296c,2t9re,1,1
4296c,2t9re,2,5
4296c,2t9re,3,1
4296c,2t9re,4,5
4296c,2t9re,5,4
4296c,2t9re,6,2
4296c,2t9re,7,2
4296c,2t9re,8,1
4296c,2t9re,9,3
a149c,2t9re,1,2
a149c,2t9re,2,2
a149c,2t9re,3,1
a149c,2t9re,4,3
a149c,2t9re,5,2
a149c,2t9re,6,2
a149c,2t9re,7,2
a149c,2t9re,8,2
a149c,2t9re,9,2
714e9,2t9re,1,3
714e9,2t9re,2,3
714e9,2t9re,3,4
714e9,2t9re,4,4
714e9,2t9re,5,2
714e9,2t9re,6,4
714e9,2t9re,7,3
714e9,2t9re,8,3
714e9,2t9re,9,3
4bc43,2t9re,1,4
4bc43,2t9re,2,4
4bc43,2t9re,3,2
4bc43,2t9re,4,5
4bc43,2t9re,5,4
4bc43,2t9re,6,2
4bc43,2t9re,7,2
4bc43,2t9re,8,2
4bc43,2t9re,9,2
613b4,2t9re,1,1
613b4,2t9re,2,1
613b4,2t9re,3,1
613b4,2t9re,4,4
613b4,2t9re,5,4
613b4,2t9re,6,1
613b4,2t9re,7,2
613b4,2t9re,8,4
613b4,2t9re,9,3
6519c,2t9re,1,2
6519c,2t9re,2,4
6519c,2t9re,3,4
6519c,2t9re,4,5
6519c,2t9re,5,5
6519c,2t9re,6,3
6519c,2t9re,7,5
6519c,2t9re,8,5
6519c,2t9re,9,4
017aa,2t9re,1,1
017aa,2t9re,2,2
017aa,2t9re,3,1
017aa,2t9re,4,2
017aa,2t9re,5,2
017aa,2t9re,6,2
017aa,2t9re,7,2
017aa,2t9re,8,1
017aa,2t9re,9,1
5d475,2t9re,1,4
5d475,2t9re,2,4
5d475,2t9re,3,4
5d475,2t9re,4,5
5d475,2t9re,5,5
5d475,2t9re,6,3
5d475,2t9re,7,3
5d475,2t9re,8,4
5d475,2t9re,9,4
fd625,2t9re,1,1
fd625,2t9re,2,4
fd625,2t9re,3,1
fd625,2t9re,4,4
fd625,2t9re,5,1
fd625,2t9re,6,2
fd625,2t9re,7,1
fd625,2t9re,8,4
fd625,2t9re,9,1
004d5,2t9re,1,2
004d5,2t9re,2,2
004d5,2t9re,3,1
004d5,2t9re,4,3
004d5,2t9re,5,3
004d5,2t9re,6,2
004d5,2t9re,7,2
004d5,2t9re,8,3
004d5,2t9re,9,2
f81a5,2t9re,1,1
f81a5,2t9re,2,2
f81a5,2t9re,3,5
f81a5,2t9re,4,5
f81a5,2t9re,5,4
f81a5,2t9re,6,3
f81a5,2t9re,7,2
f81a5,2t9re,8,5
f81a5,2t9re,9,2
8f5ee,2t9re,1,2
8f5ee,2t9re,2,4
8f5ee,2t9re,3,3
8f5ee,2t9re,4,4
8f5ee,2t9re,5,5
8f5ee,2t9re,6,3
8f5ee,2t9re,7,2
8f5ee,2t9re,8,4
8f5ee,2t9re,9,3
bb688,2t9re,1,1
bb688,2t9re,2,4
bb688,2t9re,3,2
bb688,2t9re,4,4
bb688,2t9re,5,3
bb688,2t9re,6,3
bb688,2t9re,7,3
bb688,2t9re,8,4
bb688,2t9re,9,3
c14c6,2t9re,1,1
c14c6,2t9re,2,3
c14c6,2t9re,3,1
c14c6,2t9re,4,4
c14c6,2t9re,5,4
c14c6,2t9re,6,1
c14c6,2t9re,7,2
c14c6,2t9re,8,2
c14c6,2t9re,9,2
9e6d9,2t9re,1,1
9e6d9,2t9re,2,2
9e6d9,2t9re,3,2
9e6d9,2t9re,4,3
9e6d9,2t9re,5,3
9e6d9,2t9re,6,2
9e6d9,2t9re,7,1
9e6d9,2t9re,8,2
9e6d9,2t9re,9,1
405b2,2t9re,1,1
405b2,2t9re,2,4
405b2,2t9re,3,2
405b2,2t9re,4,5
405b2,2t9re,5,4
405b2,2t9re,6,1
405b2,2t9re,7,2
405b2,2t9re,8,4
405b2,2t9re,9,1
7923c,2t9re,1,1
7923c,2t9re,2,2
7923c,2t9re,3,2
7923c,2t9re,4,3
7923c,2t9re,5,3
7923c,2t9re,6,1
7923c,2t9re,7,1
7923c,2t9re,8,3
7923c,2t9re,9,2
dfcac,2t9re,1,2
dfcac,2t9re,2,4
dfcac,2t9re,3,1
dfcac,2t9re,4,5
dfcac,2t9re,5,4
dfcac,2t9re,6,1
dfcac,2t9re,7,3
dfcac,2t9re,8,5
dfcac,2t9re,9,4
45ed2,2t9re,1,1
45ed2,2t9re,2,4
45ed2,2t9re,3,3
45ed2,2t9re,4,5
45ed2,2t9re,5,5
45ed2,2t9re,6,3
45ed2,2t9re,7,4
45ed2,2t9re,8,4
45ed2,2t9re,9,2
7cdeb,2t9re,1,2
7cdeb,2t9re,2,3
7cdeb,2t9re,3,2
7cdeb,2t9re,4,4
7cdeb,2t9re,5,3
7cdeb,2t9re,6,2
7cdeb,2t9re,7,2
7cdeb,2t9re,8,2
7cdeb,2t9re,9,2
11bad,2t9re,1,2
11bad,2t9re,2,4
11bad,2t9re,3,3
11bad,2t9re,4,5
11bad,2t9re,5,3
11bad,2t9re,6,3
11bad,2t9re,7,4
11bad,2t9re,8,5
11bad,2t9re,9,2
19128,2t9re,1,1
19128,2t9re,2,3
19128,2t9re,3,2
19128,2t9re,4,4
19128,2t9re,5,2
19128,2t9re,6,1
19128,2t9re,7,2
19128,2t9re,8,3
19128,2t9re,9,1
b4468,2t9re,1,3
b4468,2t9re,2,4
b4468,2t9re,3,2
b4468,2t9re,4,5
b4468,2t9re,5,3
b4468,2t9re,6,3
b4468,2t9re,7,2
b4468,2t9re,8,5
b4468,2t9re,9,3
46564,2t9re,1,3
46564,2t9re,2,2
46564,2t9re,3,2
46564,2t9re,4,2
46564,2t9re,5,3
46564,2t9re,6,1
46564,2t9re,7,2
46564,2t9re,8,3
46564,2t9re,9,2
fd48f,2t9re,1,2
fd48f,2t9re,2,3
fd48f,2t9re,3,1
fd48f,2t9re,4,5
fd48f,2t9re,5,3
fd48f,2t9re,6,3
fd48f,2t9re,7,2
fd48f,2t9re,8,4
fd48f,2t9re,9,1
00e0f,2t9re,1,1
00e0f,2t9re,2,3
00e0f,2t9re,3,1
00e0f,2t9re,4,2
00e0f,2t9re,5,3
00e0f,2t9re,6,3
00e0f,2t9re,7,3
00e0f,2t9re,8,2
00e0f,2t9re,9,3
bdd44,2t9re,1,1
bdd44,2t9re,2,4
bdd44,2t9re,3,1
bdd44,2t9re,4,4
bdd44,2t9re,5,2
bdd44,2t9re,6,1
bdd44,2t9re,7,1
bdd44,2t9re,8,2
bdd44,2t9re,9,1
e49bb,2t9re,1,2
e49bb,2t9re,2,4
e49bb,2t9re,3,4
e49bb,2t9re,4,5
e49bb,2t9re,5,5
e49bb,2t9re,6,4
e49bb,2t9re,7,4
e49bb,2t9re,8,5
e49bb,2t9re,9,4
7c0a3,2t9re,1,1
7c0a3,2t9re,2,3
7c0a3,2t9re,3,3
7c0a3,2t9re,4,4
7c0a3,2t9re,5,3
7c0a3,2t9re,6,2
7c0a3,2t9re,7,4
7c0a3,2t9re,8,4
7c0a3,2t9re,9,1
62458,2t9re,1,2
62458,2t9re,2,3
62458,2t9re,3,3
62458,2t9re,4,4
62458,2t9re,5,4
62458,2t9re,6,3
62458,2t9re,7,3
62458,2t9re,8,5
62458,2t9re,9,2
ae7f8,2t9re,1,2
ae7f8,2t9re,2,3
ae7f8,2t9re,3,2
ae7f8,2t9re,4,3
ae7f8,2t9re,5,4
ae7f8,2t9re,6,2
ae7f8,2t9re,7,2
ae7f8,2t9re,8,2
ae7f8,2t9re,9,3
f6a36,2t9re,1,3
f6a36,2t9re,2,4
f6a36,2t9re,3,3
f6a36,2t9re,4,4
f6a36,2t9re,5,4
f6a36,2t9re,6,2
f6a36,2t9re,7,3
f6a36,2t9re,8,4
f6a36,2t9re,9,2
f4702,2t9re,1,1
f4702,2t9re,2,1
f4702,2t9re,3,1
f4702,2t9re,4,3
f4702,2t9re,5,2
f4702,2t9re,6,1
f4702,2t9re,7,1
f4702,2t9re,8,4
f4702,2t9re,9,1
c7c1d,2t9re,1,1
c7c1d,2t9re,2,3
c7c1d,2t9re,3,1
c7c1d,2t9re,4,5
c7c1d,2t9re,5,3
c7c1d,2t9re,6,1
c7c1d,2t9re,7,1
c7c1d,2t9re,8,3
c7c1d,2t9re,9,1
3610a,2t9re,1,1
3610a,2t9re,2,4
3610a,2t9re,3,2
3610a,2t9re,4,4
3610a,2t9re,5,3
3610a,2t9re,6,2
3610a,2t9re,7,3
3610a,2t9re,8,5
3610a,2t9re,9,1
afd43,2t9re,1,1
afd43,2t9re,2,3
afd43,2t9re,3,1
afd43,2t9re,4,4
afd43,2t9re,5,3
afd43,2t9re,6,2
afd43,2t9re,7,2
afd43,2t9re,8,2
afd43,2t9re,9,1
293bb,2t9re,1,1
293bb,2t9re,2,5
293bb,2t9re,3,4
293bb,2t9re,4,5
293bb,2t9re,5,4
293bb,2t9re,6,1
293bb,2t9re,7,1
293bb,2t9re,8,4
293bb,2t9re,9,2
8059e,2t9re,1,3
8059e,2t9re,2,5
8059e,2t9re,3,5
8059e,2t9re,4,5
8059e,2t9re,5,2
8059e,2t9re,6,3
8059e,2t9re,7,4
8059e,2t9re,8,5
8059e,2t9re,9,1
48125,2t9re,1,2
48125,2t9re,2,4
48125,2t9re,3,4
48125,2t9re,4,5
48125,2t9re,5,4
48125,2t9re,6,3
48125,2t9re,7,3
48125,2t9re,8,4
48125,2t9re,9,2
ab890,2t9re,1,4
ab890,2t9re,2,5
ab890,2t9re,3,4
ab890,2t9re,4,5
ab890,2t9re,5,4
ab890,2t9re,6,3
ab890,2t9re,7,3
ab890,2t9re,8,5
ab890,2t9re,9,3
2941f,2t9re,1,1
2941f,2t9re,2,1
2941f,2t9re,3,1
2941f,2t9re,4,2
2941f,2t9re,5,3
2941f,2t9re,6,1
2941f,2t9re,7,1
2941f,2t9re,8,2
2941f,2t9re,9,1
08bb4,2t9re,1,1
08bb4,2t9re,2,2
08bb4,2t9re,3,1
08bb4,2t9re,4,3
08bb4,2t9re,5,4
08bb4,2t9re,6,2
08bb4,2t9re,7,2
08bb4,2t9re,8,2
08bb4,2t9re,9,2
0475a,2t9re,1,1
0475a,2t9re,2,1
0475a,2t9re,3,1
0475a,2t9re,4,1
0475a,2t9re,5,2
0475a,2t9re,6,1
0475a,2t9re,7,1
0475a,2t9re,8,3
0475a,2t9re,9,1
83a5b,3s4uh,1,1
83a5b,3s4uh,2,1
83a5b,3s4uh,3,1
83a5b,3s4uh,4,1
83a5b,3s4uh,5,1
83a5b,3s4uh,6,1
83a5b,3s4uh,7,1
83a5b,3s4uh,8,1
83a5b,3s4uh,9,1
b2656,3s4uh,1,1
b2656,3s4uh,2,3
b2656,3s4uh,3,2
b2656,3s4uh,4,5
b2656,3s4uh,5,3
b2656,3s4uh,6,1
b2656,3s4uh,7,1
b2656,3s4uh,8,5
b2656,3s4uh,9,1
f0f24,3s4uh,1,1
f0f24,3s4uh,2,1
f0f24,3s4uh,3,1
f0f24,3s4uh,4,1
f0f24,3s4uh,5,2
f0f24,3s4uh,6,1
f0f24,3s4uh,7,1
f0f24,3s4uh,8,2
f0f24,3s4uh,9,2
812e0,3s4uh,1,4
812e0,3s4uh,2,5
812e0,3s4uh,3,3
812e0,3s4uh,4,5
812e0,3s4uh,5,3
812e0,3s4uh,6,2
812e0,3s4uh,7,2
812e0,3s4uh,8,4
812e0,3s4uh,9,2
10d5b,3s4uh,1,2
10d5b,3s4uh,2,1
10d5b,3s4uh,3,3
10d5b,3s4uh,4,3
10d5b,3s4uh,5,3
10d5b,3s4uh,6,1
10d5b,3s4uh,7,1
10d5b,3s4uh,8,4
10d5b,3s4uh,9,2
c8554,3s4uh,1,1
c8554,3s4uh,2,3
c8554,3s4uh,3,1
c8554,3s4uh,4,4
c8554,3s4uh,5,1
c8554,3s4uh,6,2
c8554,3s4uh,7,2
c8554,3s4uh,8,3
c8554,3s4uh,9,1
28d11,3s4uh,1,4
28d11,3s4uh,2,3
28d11,3s4uh,3,4
28d11,3s4uh,4,5
28d11,3s4uh,5,4
28d11,3s4uh,6,5
28d11,3s4uh,7,4
28d11,3s4uh,8,2
28d11,3s4uh,9,3
6e622,3s4uh,1,1
6e622,3s4uh,2,3
6e622,3s4uh,3,1
6e622,3s4uh,4,4
6e622,3s4uh,5,2
6e622,3s4uh,6,1
6e622,3s4uh,7,1
6e622,3s4uh,8,3
6e622,3s4uh,9,1
43e34,3s4uh,1,1
43e34,3s4uh,2,5
43e34,3s4uh,3,4
43e34,3s4uh,4,5
43e34,3s4uh,5,5
43e34,3s4uh,6,4
43e34,3s4uh,7,2
43e34,3s4uh,8,5
43e34,3s4uh,9,3
9147b,3s4uh,1,4
9147b,3s4uh,2,3
9147b,3s4uh,3,3
9147b,3s4uh,4,5
9147b,3s4uh,5,5
9147b,3s4uh,6,2
9147b,3s4uh,7,1
9147b,3s4uh,8,4
9147b,3s4uh,9,2
e33b4,3s4uh,1,1
e33b4,3s4uh,2,4
e33b4,3s4uh,3,2
e33b4,3s4uh,4,4
e33b4,3s4uh,5,3
e33b4,3s4uh,6,1
e33b4,3s4uh,7,2
e33b4,3s4uh,8,3
e33b4,3s4uh,9,2
989e0,3s4uh,1,1
989e0,3s4uh,2,3
989e0,3s4uh,3,1
989e0,3s4uh,4,5
989e0,3s4uh,5,3
989e0,3s4uh,6,1
989e0,3s4uh,7,1
989e0,3s4uh,8,1
989e0,3s4uh,9,1
d9032,3s4uh,1,3
d9032,3s4uh,2,4
d9032,3s4uh,3,2
d9032,3s4uh,4,2
d9032,3s4uh,5,4
d9032,3s4uh,6,1
d9032,3s4uh,7,1
d9032,3s4uh,8,1
d9032,3s4uh,9,1
1ba32,3s4uh,1,2
1ba32,3s4uh,2,3
1ba32,3s4uh,3,2
1ba32,3s4uh,4,3
1ba32,3s4uh,5,2
1ba32,3s4uh,6,2
1ba32,3s4uh,7,2
1ba32,3s4uh,8,1
1ba32,3s4uh,9,2
225a2,3s4uh,1,2
225a2,3s4uh,2,5
225a2,3s4uh,3,3
225a2,3s4uh,4,5
225a2,3s4uh,5,4
225a2,3s4uh,6,2
225a2,3s4uh,7,2
225a2,3s4uh,8,5
225a2,3s4uh,9,3
272d4,3s4uh,1,1
272d4,3s4uh,2,4
272d4,3s4uh,3,3
272d4,3s4uh,4,5
272d4,3s4uh,5,4
272d4,3s4uh,6,4
272d4,3s4uh,7,3
272d4,3s4uh,8,4
272d4,3s4uh,9,2
1c42f,3s4uh,1,1
1c42f,3s4uh,2,1
1c42f,3s4uh,3,1
1c42f,3s4uh,4,2
1c42f,3s4uh,5,1
1c42f,3s4uh,6,1
1c42f,3s4uh,7,1
1c42f,3s4uh,8,3
1c42f,3s4uh,9,1
ac06b,3s4uh,1,2
ac06b,3s4uh,2,3
ac06b,3s4uh,3,3
ac06b,3s4uh,4,4
ac06b,3s4uh,5,3
ac06b,3s4uh,6,4
ac06b,3s4uh,7,4
ac06b,3s4uh,8,3
ac06b,3s4uh,9,2
370f9,3s4uh,1,1
370f9,3s4uh,2,2
370f9,3s4uh,3,1
370f9,3s4uh,4,4
370f9,3s4uh,5,2
370f9,3s4uh,6,1
370f9,3s4uh,7,1
370f9,3s4uh,8,5
370f9,3s4uh,9,1
fcd78,3s4uh,1,1
fcd78,3s4uh,2,1
fcd78,3s4uh,3,1
fcd78,3s4uh,4,1
fcd78,3s4uh,5,1
fcd78,3s4uh,6,1
fcd78,3s4uh,7,1
fcd78,3s4uh,8,1
fcd78,3s4uh,9,1
b481f,3s4uh,1,1
b481f,3s4uh,2,1
b481f,3s4uh,3,1
b481f,3s4uh,4,1
b481f,3s4uh,5,2
b481f,3s4uh,6,1
b481f,3s4uh,7,1
b481f,3s4uh,8,1
b481f,3s4uh,9,1
bb342,3s4uh,1,1
bb342,3s4uh,2,1
bb342,3s4uh,3,1
bb342,3s4uh,4,2
bb342,3s4uh,5,4
bb342,3s4uh,6,3
bb342,3s4uh,7,2
bb342,3s4uh,8,3
bb342,3s4uh,9,2
fc85b,3s4uh,1,5
fc85b,3s4uh,2,5
fc85b,3s4uh,3,4
fc85b,3s4uh,4,5
fc85b,3s4uh,5,5
fc85b,3s4uh,6,3
fc85b,3s4uh,7,2
fc85b,3s4uh,8,5
fc85b,3s4uh,9,1
602c6,3s4uh,1,1
602c6,3s4uh,2,4
602c6,3s4uh,3,3
602c6,3s4uh,4,5
602c6,3s4uh,5,4
602c6,3s4uh,6,2
602c6,3s4uh,7,1
602c6,3s4uh,8,4
602c6,3s4uh,9,2
b864e,3s4uh,1,1
b864e,3s4uh,2,4
b864e,3s4uh,3,2
b864e,3s4uh,4,4
b864e,3s4uh,5,5
b864e,3s4uh,6,3
b864e,3s4uh,7,2
b864e,3s4uh,8,3
b864e,3s4uh,9,3
ba334,3s4uh,1,1
ba334,3s4uh,2,2
ba334,3s4uh,3,1
ba334,3s4uh,4,4
ba334,3s4uh,5,2
ba334,3s4uh,6,1
ba334,3s4uh,7,1
ba334,3s4uh,8,2
ba334,3s4uh,9,1
0e817,3s4uh,1,1
0e817,3s4uh,2,3
0e817,3s4uh,3,1
0e817,3s4uh,4,1
0e817,3s4uh,5,1
0e817,3s4uh,6,1
0e817,3s4uh,7,1
0e817,3s4uh,8,1
0e817,3s4uh,9,1
25c46,3s4uh,1,2
25c46,3s4uh,2,4
25c46,3s4uh,3,3
25c46,3s4uh,4,4
25c46,3s4uh,5,4
25c46,3s4uh,6,2
25c46,3s4uh,7,2
25c46,3s4uh,8,4
25c46,3s4uh,9,3
9e49e,3s4uh,1,2
9e49e,3s4uh,2,2
9e49e,3s4uh,3,1
9e49e,3s4uh,4,2
9e49e,3s4uh,5,1
9e49e,3s4uh,6,1
9e49e,3s4uh,7,1
9e49e,3s4uh,8,2
9e49e,3s4uh,9,1
beba0,3s4uh,1,1
beba0,3s4uh,2,4
beba0,3s4uh,3,2
beba0,3s4uh,4,3
beba0,3s4uh,5,5
beba0,3s4uh,6,3
beba0,3s4uh,7,2
beba0,3s4uh,8,5
beba0,3s4uh,9,3
26d5c,3s4uh,1,4
26d5c,3s4uh,2,4
26d5c,3s4uh,3,2
26d5c,3s4uh,4,4
26d5c,3s4uh,5,3
26d5c,3s4uh,6,2
26d5c,3s4uh,7,2
26d5c,3s4uh,8,5
26d5c,3s4uh,9,3
acbbb,3s4uh,1,1
acbbb,3s4uh,2,3
acbbb,3s4uh,3,2
acbbb,3s4uh,4,3
acbbb,3s4uh,5,4
acbbb,3s4uh,6,2
acbbb,3s4uh,7,3
acbbb,3s4uh,8,3
acbbb,3s4uh,9,2
04664,3s4uh,1,1
04664,3s4uh,2,2
04664,3s4uh,3,1
04664,3s4uh,4,2
04664,3s4uh,5,1
04664,3s4uh,6,1
04664,3s4uh,7,1
04664,3s4uh,8,2
04664,3s4uh,9,1
fa3b8,3s4uh,1,1
fa3b8,3s4uh,2,3
fa3b8,3s4uh,3,1
fa3b8,3s4uh,4,3
fa3b8,3s4uh,5,5
fa3b8,3s4uh,6,1
fa3b8,3s4uh,7,2
fa3b8,3s4uh,8,2
fa3b8,3s4uh,9,1
12142,3s4uh,1,1
12142,3s4uh,2,1
12142,3s4uh,3,1
12142,3s4uh,4,1
12142,3s4uh,5,1
12142,3s4uh,6,1
12142,3s4uh,7,1
12142,3s4uh,8,1
12142,3s4uh,9,1
df0c0,3s4uh,1,1
df0c0,3s4uh,2,2
df0c0,3s4uh,3,2
df0c0,3s4uh,4,3
df0c0,3s4uh,5,3
df0c0,3s4uh,6,2
df0c0,3s4uh,7,1
df0c0,3s4uh,8,3
df0c0,3s4uh,9,2
88bd4,3s4uh,1,1
88bd4,3s4uh,2,1
88bd4,3s4uh,3,1
88bd4,3s4uh,4,1
88bd4,3s4uh,5,1
88bd4,3s4uh,6,1
88bd4,3s4uh,7,1
88bd4,3s4uh,8,1
88bd4,3s4uh,9,1
e7a63,3s4uh,1,1
e7a63,3s4uh,2,1
e7a63,3s4uh,3,1
e7a63,3s4uh,4,1
e7a63,3s4uh,5,1
e7a63,3s4uh,6,1
e7a63,3s4uh,7,1
e7a63,3s4uh,8,1
e7a63,3s4uh,9,1
48864,3s4uh,1,5
48864,3s4uh,2,5
48864,3s4uh,3,5
48864,3s4uh,4,5
48864,3s4uh,5,5
48864,3s4uh,6,5
48864,3s4uh,7,4
48864,3s4uh,8,5
48864,3s4uh,9,5
753e2,3s4uh,1,2
753e2,3s4uh,2,2
753e2,3s4uh,3,2
753e2,3s4uh,4,3
753e2,3s4uh,5,2
753e2,3s4uh,6,3
753e2,3s4uh,7,3
753e2,3s4uh,8,2
753e2,3s4uh,9,2
b28aa,3s4uh,1,2
b28aa,3s4uh,2,3
b28aa,3s4uh,3,2
b28aa,3s4uh,4,1
b28aa,3s4uh,5,4
b28aa,3s4uh,6,1
b28aa,3s4uh,7,4
b28aa,3s4uh,8,4
b28aa,3s4uh,9,4
9686f,3s4uh,1,4
9686f,3s4uh,2,5
9686f,3s4uh,3,2
9686f,3s4uh,4,4
9686f,3s4uh,5,2
9686f,3s4uh,6,2
9686f,3s4uh,7,2
9686f,3s4uh,8,2
9686f,3s4uh,9,2
19fd9,3s4uh,1,1
19fd9,3s4uh,2,1
19fd9,3s4uh,3,1
19fd9,3s4uh,4,2
19fd9,3s4uh,5,2
19fd9,3s4uh,6,1
19fd9,3s4uh,7,1
19fd9,3s4uh,8,1
19fd9,3s4uh,9,1
d06f8,3s4uh,1,1
d06f8,3s4uh,2,2
d06f8,3s4uh,3,1
d06f8,3s4uh,4,2
d06f8,3s4uh,5,1
d06f8,3s4uh,6,1
d06f8,3s4uh,7,1
d06f8,3s4uh,8,1
d06f8,3s4uh,9,1
bc1c6,3s4uh,1,2
bc1c6,3s4uh,2,2
bc1c6,3s4uh,3,1
bc1c6,3s4uh,4,2
bc1c6,3s4uh,5,2
bc1c6,3s4uh,6,3
bc1c6,3s4uh,7,2
bc1c6,3s4uh,8,3
bc1c6,3s4uh,9,1
a1e3e,3s4uh,1,3
a1e3e,3s4uh,2,2
a1e3e,3s4uh,3,1
a1e3e,3s4uh,4,2
a1e3e,3s4uh,5,2
a1e3e,3s4uh,6,2
a1e3e,3s4uh,7,2
a1e3e,3s4uh,8,2
a1e3e,3s4uh,9,1
1e16d,3s4uh,1,2
1e16d,3s4uh,2,4
1e16d,3s4uh,3,2
1e16d,3s4uh,4,5
1e16d,3s4uh,5,3
1e16d,3s4uh,6,3
1e16d,3s4uh,7,2
1e16d,3s4uh,8,2
1e16d,3s4uh,9,3
a070e,3s4uh,1,1
a070e,3s4uh,2,3
a070e,3s4uh,3,1
a070e,3s4uh,4,4
a070e,3s4uh,5,2
a070e,3s4uh,6,1
a070e,3s4uh,7,1
a070e,3s4uh,8,2
a070e,3s4uh,9,1
3e6da,3s4uh,1,1
3e6da,3s4uh,2,4
3e6da,3s4uh,3,4
3e6da,3s4uh,4,3
3e6da,3s4uh,5,2
3e6da,3s4uh,6,3
3e6da,3s4uh,7,3
3e6da,3s4uh,8,5
3e6da,3s4uh,9,3
8aa83,3s4uh,1,3
8aa83,3s4uh,2,4
8aa83,3s4uh,3,1
8aa83,3s4uh,4,3
8aa83,3s4uh,5,5
8aa83,3s4uh,6,1
8aa83,3s4uh,7,1
8aa83,3s4uh,8,1
8aa83,3s4uh,9,2
71d9f,3s4uh,1,1
71d9f,3s4uh,2,2
71d9f,3s4uh,3,2
71d9f,3s4uh,4,3
71d9f,3s4uh,5,2
71d9f,3s4uh,6,2
71d9f,3s4uh,7,3
71d9f,3s4uh,8,4
